Номер_ДТП;Номер_ТС;Оставление_места;Привод;Тип_ТС;Год_выпуска;Марка_модель;Форма_собственности;Цвет;Места_повреждения;Технические_неисправности
930000210.0;1.0;Осталось на месте ДТП;С задним приводом;Самосвалы;2023.0;Прочие марки грузовых ТС Прочие марки грузовых ТС;Хозяйствующие субъекты без прав юридического лица;Белый;;Технические неисправности отсутствуют
930000269.0;1.0;Скрылось и установлено в срок от 3 до 10 суток;Полноприводные;Прочие легковые автомобили;2016.0;TOYOTA Avensis;Физические лица;Черный;;Технические неисправности отсутствуют
930000175.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2001.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000175.0;2.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2010.0;TOYOTA Wish;Физические лица;Красный;;Технические неисправности отсутствуют
930000180.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2000.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930000180.0;2.0;Осталось на месте ДТП;С задним приводом;Прочие одноярусные;2017.0;MERCEDES Прочие модели Mercedes;Физические лица;Белый;;Технические неисправности отсутствуют
930000180.0;3.0;Осталось на месте ДТП;;Прицепы прочие;2023.0; ;Физические лица;Серый;;Технические неисправности отсутствуют
930000167.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930000170.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2000.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Белый;;Технические неисправности отсутствуют
930000170.0;2.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;1999.0;TOYOTA Vitz;Физические лица;Серый;;Технические неисправности отсутствуют
930000143.0;1.0;Осталось на месте ДТП;С передним приводом;Одноэтажные длиной от 5 до 8 м;2012.0;MERCEDES Прочие модели Mercedes;Физические лица;Белый;;Технические неисправности отсутствуют
930000143.0;2.0;Осталось на месте ДТП;С задним приводом;Одноэтажные длиной не более 5 м;2009.0;ПАЗ 32054;Физические лица;Белый;;Технические неисправности отсутствуют
930000143.0;3.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2001.0;TOYOTA Allex;Физические лица;Иные цвета;;Технические неисправности отсутствуют
930000148.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1993.0;TOYOTA Caldina;Физические лица;Серый;;Технические неисправности отсутствуют
930000121.0;1.0;Осталось на месте ДТП;С задним приводом;Минивэны и универсалы повышенной вместимости;2012.0;TOYOTA Land Cruiser;Физические лица;Белый;;Технические неисправности отсутствуют
930000121.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2005.0;TOYOTA Corolla;Физические лица;Синий;;Технические неисправности отсутствуют
930000121.0;3.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2018.0;Datsun on-DO;Физические лица;Серый;;Технические неисправности отсутствуют
930000114.0;1.0;Скрылось с места ДТП;;D-класс (средний) до 4,6 м;; ;;;;Технические неисправности отсутствуют
930000114.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2013.0;HYUNDAI Solaris;Физические лица;Черный;;Технические неисправности отсутствуют
930000108.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2017.0;HYUNDAI Santa FE;Физические лица;Серый;;Технические неисправности отсутствуют
930000105.0;1.0;Осталось на месте ДТП;Полноприводные;С-класс (малый средний, компактный) до 4,3 м;2003.0;УАЗ УАЗ 3151, 31512, 31514, 31519 и модификации;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000102.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2003.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Черный;;Технические неисправности отсутствуют
930000103.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1996.0;HONDA Saber;Физические лица;Синий;;Технические неисправности отсутствуют
930000097.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2003.0;TOYOTA Land Cruiser;Физические лица;Черный;;Технические неисправности отсутствуют
930000097.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2012.0;VOLKSWAGEN Polo;Физические лица;Черный;;Технические неисправности отсутствуют
930000090.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;1999.0;TOYOTA Прочие модели грузовых Toyota;Физические лица;Белый;;Технические неисправности отсутствуют
930000076.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2001.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000076.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Автогрейдеры;2018.0;Прочие марки ТС Прочие марки и модели ТС;Юридические лица, являющиеся некоммерческими организациями;Белый;;Технические неисправности отсутствуют
930000071.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2017.0;DAIHATSU Mira;Физические лица;Белый;;Технические неисправности отсутствуют
930000067.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2009.0;TOYOTA Premio;Физические лица;Серый;;Технические неисправности отсутствуют
930000060.0;1.0;Осталось на месте ДТП;Полноприводные;С-класс (малый средний, компактный) до 4,3 м;2013.0;RENAULT Logan;Юридические лица, являющиеся коммерческими организациями;Белый;;Технические неисправности отсутствуют
930000060.0;2.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2011.0;TOYOTA Wish;Физические лица;Черный;;Технические неисправности отсутствуют
930000049.0;1.0;Осталось на месте ДТП;С задним приводом;Самосвалы;2011.0;HOWO ZZ3167M3811;Физические лица;Красный;;Технические неисправности отсутствуют
930000035.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1982.0;BMW Прочие модели BMW;Физические лица;Иные цвета;;Технические неисправности отсутствуют
930000033.0;1.0;Осталось на месте ДТП;Полноприводные;D-класс (средний) до 4,6 м;2005.0;ВАЗ ВАЗ 2111, 21110 (универсал), 21113, 21114;Физические лица;Иные цвета;;Технические неисправности отсутствуют
930000026.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2007.0;TOYOTA Camry;Физические лица;Серый;;Технические неисправности отсутствуют
930000026.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2002.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000003.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2007.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930000003.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2006.0;ВАЗ ВАЗ 2112 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930002909.0;1.0;Скрылось и установлено в срок до 1 суток;С передним приводом;D-класс (средний) до 4,6 м;2006.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000001.0;1.0;Осталось на месте ДТП;С задним приводом;D-класс (средний) до 4,6 м;2000.0;BMW 3er;Физические лица;Синий;;Технические неисправности отсутствуют
930002916.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2011.0;TOYOTA Wish;Физические лица;Серый;;Технические неисправности отсутствуют
930002916.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1994.0;TOYOTA Camry;Физические лица;Белый;;Технические неисправности отсутствуют
930000445.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2009.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000443.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2000.0;NISSAN Прочие марки Nissan;Физические лица;Белый;;Технические неисправности отсутствуют
930000435.0;1.0;Осталось на месте ДТП;С задним приводом;Минивэны и универсалы повышенной вместимости;1996.0;TOYOTA Caldina;Физические лица;Серый;;Технические неисправности отсутствуют
930000435.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2008.0;ВАЗ ВАЗ 2115 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930000429.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2016.0;RENAULT Kaptur;Физические лица;Белый;;Технические неисправности отсутствуют
930000429.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2001.0;TOYOTA Corona;Физические лица;Серый;;Технические неисправности отсутствуют
930000421.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1996.0;TOYOTA Прочие модели Toyota;Физические лица;Белый;;Технические неисправности отсутствуют
930000408.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2005.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000408.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1997.0;TOYOTA Carina;Физические лица;Белый;;Технические неисправности отсутствуют
930000392.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2002.0;HONDA CR-V;Физические лица;Синий;;Технические неисправности отсутствуют
930000392.0;2.0;Осталось на месте ДТП;С задним приводом;Оснащённые специализированным оборудованием  автотранспортные средства для коммунального хозяйства и  содержания дорог;2023.0;КАМАЗ Прочие модели КАМАЗ;Хозяйствующие субъекты без прав юридического лица;Оранжевый;;Технические неисправности отсутствуют
930000390.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2001.0;HONDA Stream;Физические лица;Синий;;Технические неисправности отсутствуют
930000371.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2011.0;ВАЗ Priora;Физические лица;Черный;;Технические неисправности отсутствуют
930000371.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2006.0;TOYOTA Allion;Физические лица;Белый;;Технические неисправности отсутствуют
930000371.0;3.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2004.0;TOYOTA Wish;Физические лица;Белый;;Технические неисправности отсутствуют
930000362.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2000.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Синий;;Технические неисправности отсутствуют
930000362.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1995.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000353.0;1.0;Осталось на месте ДТП;С передним приводом;Е-класс (высший средний, бизнес-класс) до 4,9 м;2007.0;TOYOTA Camry;Физические лица;Белый;;Технические неисправности отсутствуют
930000342.0;1.0;Скрылось с места ДТП;;С-класс (малый средний, компактный) до 4,3 м;; ;;;;Технические неисправности отсутствуют
930000327.0;1.0;Осталось на месте ДТП;С задним приводом;D-класс (средний) до 4,6 м;1998.0;TOYOTA Sprinter;Физические лица;Черный;;Технические неисправности отсутствуют
930000326.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2011.0;ВАЗ  Жигули  ВАЗ-2107 модификации;Физические лица;Черный;;Технические неисправности отсутствуют
930000319.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2006.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000324.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2009.0;TOYOTA BB;Физические лица;Черный;;Технические неисправности отсутствуют
930000324.0;2.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2010.0;NISSAN Elgrand;Физические лица;Белый;;Технические неисправности отсутствуют
930000324.0;3.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2005.0;TOYOTA Avensis;Физические лица;Серый;;Технические неисправности отсутствуют
930000317.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1999.0;TOYOTA Caldina;Физические лица;Черный;;Технические неисправности отсутствуют
930000315.0;1.0;Скрылось и установлено в срок до 1 суток;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;1999.0;MAZDA Capella;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000303.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2021.0;ВАЗ Granta (Гранта);Физические лица;Белый;;Технические неисправности отсутствуют
930000295.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2014.0;HONDA Прочие модели Honda;Физические лица;Синий;;Технические неисправности отсутствуют
930000292.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1999.0;TOYOTA Ipsum;Физические лица;Белый;;Технические неисправности отсутствуют
